Time,Q1,T1
0.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
7.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.932551319648093724e+01
1.000000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.100000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.200000000000000000e+01,0.000000000000000000e+00,2.981427174975561911e+01
1.300000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.400000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.500000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.600000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.700000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.800000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
1.900000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.000000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.100000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.200000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.300000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.400000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.500000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.700000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.800000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
2.900000000000000000e+01,0.000000000000000000e+00,2.932551319648093724e+01
3.000000000000000000e+01,1.785000000000000000e+02,2.932551319648093724e+01
3.100000000000000000e+01,1.785000000000000000e+02,2.883675464320625537e+01
3.200000000000000000e+01,1.785000000000000000e+02,2.932551319648093724e+01
3.300000000000000000e+01,1.785000000000000000e+02,3.079178885630498641e+01
3.400000000000000000e+01,1.785000000000000000e+02,2.981427174975561911e+01
3.500000000000000000e+01,1.785000000000000000e+02,2.932551319648093724e+01
3.600000000000000000e+01,1.785000000000000000e+02,3.079178885630498641e+01
3.700000000000000000e+01,1.785000000000000000e+02,3.079178885630498641e+01
3.800000000000000000e+01,1.785000000000000000e+02,3.079178885630498641e+01
3.900000000000000000e+01,1.785000000000000000e+02,3.079178885630498641e+01
4.000000000000000000e+01,1.785000000000000000e+02,3.128054740957966828e+01
4.100000000000000000e+01,1.785000000000000000e+02,3.030303030303030454e+01
4.200000000000000000e+01,1.785000000000000000e+02,3.128054740957966828e+01
4.300000000000000000e+01,1.785000000000000000e+02,3.128054740957966828e+01
4.400000000000000000e+01,1.785000000000000000e+02,3.128054740957966828e+01
4.500000000000000000e+01,1.785000000000000000e+02,3.225806451612903203e+01
4.600000000000000000e+01,1.785000000000000000e+02,3.225806451612903203e+01
4.700000000000000000e+01,1.785000000000000000e+02,3.128054740957966828e+01
4.800000000000000000e+01,1.785000000000000000e+02,3.274682306940371745e+01
4.900000000000000000e+01,1.785000000000000000e+02,3.323558162267839577e+01
5.000000000000000000e+01,1.785000000000000000e+02,3.323558162267839577e+01
5.100000000000000000e+01,1.785000000000000000e+02,3.372434017595308120e+01
5.200000000000000000e+01,1.785000000000000000e+02,3.372434017595308120e+01
5.300000000000000000e+01,1.785000000000000000e+02,3.470185728250244495e+01
5.400000000000000000e+01,1.785000000000000000e+02,3.470185728250244495e+01
5.500000000000000000e+01,1.785000000000000000e+02,3.470185728250244495e+01
5.600000000000000000e+01,1.785000000000000000e+02,3.372434017595308120e+01
5.700000000000000000e+01,1.785000000000000000e+02,3.616813294232649412e+01
5.800000000000000000e+01,1.785000000000000000e+02,3.519061583577713037e+01
5.900000000000000000e+01,1.785000000000000000e+02,3.567937438905180869e+01
6.000000000000000000e+01,1.785000000000000000e+02,3.714565004887585076e+01
6.100000000000000000e+01,1.785000000000000000e+02,3.714565004887585076e+01
6.200000000000000000e+01,1.785000000000000000e+02,3.763440860215054329e+01
6.300000000000000000e+01,1.785000000000000000e+02,3.763440860215054329e+01
6.400000000000000000e+01,1.785000000000000000e+02,3.812316715542522161e+01
6.500000000000000000e+01,1.785000000000000000e+02,3.812316715542522161e+01
6.600000000000000000e+01,1.785000000000000000e+02,3.910068426197458535e+01
6.700000000000000000e+01,1.785000000000000000e+02,3.910068426197458535e+01
6.800000000000000000e+01,1.785000000000000000e+02,3.958944281524926367e+01
6.900000000000000000e+01,1.785000000000000000e+02,4.056695992179863453e+01
7.000000000000000000e+01,1.785000000000000000e+02,4.056695992179863453e+01
7.100000000000000000e+01,1.785000000000000000e+02,3.958944281524926367e+01
7.200000000000000000e+01,1.785000000000000000e+02,4.105571847507331285e+01
7.300000000000000000e+01,1.785000000000000000e+02,4.105571847507331285e+01
7.400000000000000000e+01,1.785000000000000000e+02,4.105571847507331285e+01
7.500000000000000000e+01,1.785000000000000000e+02,4.252199413489736202e+01
7.600000000000000000e+01,1.785000000000000000e+02,4.301075268817204744e+01
7.700000000000000000e+01,1.785000000000000000e+02,4.154447702834799827e+01
7.800000000000000000e+01,1.785000000000000000e+02,4.349951124144672576e+01
7.900000000000000000e+01,1.785000000000000000e+02,4.398826979472140408e+01
8.000000000000000000e+01,1.785000000000000000e+02,4.301075268817204744e+01
8.100000000000000000e+01,1.785000000000000000e+02,4.496578690127077493e+01
